,02_95stain1-120716_S2_merged_R1.fastq.gz.fq.gzAligned.sortedByCoord.out.down_sampled
ENSG00000007968.6,90
ENSG00000008018.8,91
ENSG00000008083.13,92
ENSG00000008130.15,93
ENSG00000008282.7,94
ENSG00000008283.15,95
ENSG00000008294.20,96
ENSG00000008324.10,97
ENSG00000008382.15,98
ENSG00000008394.12,99
ENSG00000008405.11,100
ENSG00000008517.16,101
ENSG00000008838.17,102
ENSG00000008869.11,103
ENSG00000008952.16,104
ENSG00000008988.9,105
ENSG00000009307.15,106
ENSG00000009335.17,107
ENSG00000009413.15,108
ENSG00000009844.15,109
ENSG00000009954.10,110
ENSG00000010017.12,111
ENSG00000010072.15,112
ENSG00000010219.13,113
ENSG00000010244.16,114
ENSG00000010256.10,115
ENSG00000010270.13,116
ENSG00000010292.12,117
ENSG00000010322.15,118
ENSG00000010379.15,119
ENSG00000010404.17,120
ENSG00000010803.16,121
ENSG00000011007.12,122
ENSG00000011009.10,123
ENSG00000011132.11,124
ENSG00000011143.16,125
ENSG00000011243.17,126
ENSG00000011260.13,127
ENSG00000011275.18,128
ENSG00000011295.15,129
ENSG00000011304.16,130
ENSG00000011422.11,131
ENSG00000011426.10,132
ENSG00000011454.16,133
ENSG00000011478.11,134
ENSG00000011485.14,135
ENSG00000011600.11,136
ENSG00000011638.10,137
ENSG00000012048.19,138
ENSG00000012061.15,139
ENSG00000012124.14,140
ENSG00000012174.11,141
ENSG00000012232.8,142
ENSG00000012660.13,143
ENSG00000012779.10,144
ENSG00000013275.7,145
ENSG00000013288.8,146
ENSG00000013306.15,147
ENSG00000013374.15,148
ENSG00000013375.15,149
ENSG00000013392.7,150
ENSG00000013441.15,151
ENSG00000013561.17,152
ENSG00000013573.16,153
ENSG00000013583.8,154
ENSG00000014123.9,155
ENSG00000014138.8,156
ENSG00000014216.15,157
ENSG00000014641.17,158
ENSG00000014824.13,159
ENSG00000014919.12,160
ENSG00000015285.10,161
ENSG00000015475.18,162
ENSG00000015676.17,163
ENSG00000016864.16,164
ENSG00000017260.19,165
ENSG00000017427.15,166
ENSG00000017797.11,167
ENSG00000018189.12,168
ENSG00000018280.16,169
ENSG00000018510.12,170
ENSG00000018699.11,171
ENSG00000019102.11,172
ENSG00000020426.10,173
ENSG00000020922.12,174
ENSG00000021355.12,175
ENSG00000021776.10,176
ENSG00000022277.12,177
ENSG00000022840.15,178
ENSG00000023041.11,179
ENSG00000023191.16,180
ENSG00000023228.13,181
ENSG00000023318.7,182
ENSG00000023330.14,183
ENSG00000023516.8,184
ENSG00000023572.8,185
ENSG00000023608.4,186
ENSG00000023697.12,187
ENSG00000023734.10,188
ENSG00000023902.13,189
ENSG00000023909.9,190
ENSG00000024422.11,191
ENSG00000024526.16,192
ENSG00000024862.16,193
ENSG00000025156.12,194
ENSG00000025293.15,195
ENSG00000025434.18,196
ENSG00000025708.12,197
ENSG00000025770.18,198
ENSG00000025772.7,199
ENSG00000025796.13,200
ENSG00000025800.13,201
ENSG00000026025.13,202
ENSG00000026297.15,203
ENSG00000026508.16,204
ENSG00000026559.13,205
ENSG00000027001.9,206
ENSG00000027697.12,207
ENSG00000027847.13,208
ENSG00000027869.11,209
ENSG00000028203.17,210
ENSG00000028310.17,211
ENSG00000028528.14,212
ENSG00000028839.9,213
ENSG00000029363.15,214
ENSG00000029534.19,215
ENSG00000029639.10,216
ENSG00000029725.16,217
ENSG00000029993.14,218
ENSG00000030582.16,219
ENSG00000031003.10,220
ENSG00000031691.6,221
ENSG00000031698.12,222
ENSG00000031823.14,223
ENSG00000032219.18,224
ENSG00000032389.12,225
ENSG00000033011.11,226
ENSG00000033030.13,227
ENSG00000033050.7,228
ENSG00000033178.12,229
ENSG00000033627.14,230
ENSG00000033800.13,231
ENSG00000034510.5,232
ENSG00000034677.11,233
ENSG00000034693.14,234
ENSG00000034713.7,235
ENSG00000035115.21,236
ENSG00000035141.7,237
ENSG00000035403.16,238
ENSG00000035499.12,239
ENSG00000035681.7,240
ENSG00000035687.9,241
ENSG00000035720.7,242
ENSG00000035928.14,243
ENSG00000036054.12,244
ENSG00000036549.12,245
ENSG00000037241.7,246
ENSG00000037474.14,247
ENSG00000037637.10,248
ENSG00000037897.16,249
ENSG00000038002.8,250
ENSG00000038210.12,251
ENSG00000038219.12,252
ENSG00000038274.16,253
ENSG00000039123.15,254
ENSG00000039523.17,255
ENSG00000039560.13,256
ENSG00000040275.16,257
ENSG00000040341.17,258
ENSG00000040487.12,259
ENSG00000040531.14,260
ENSG00000041353.9,261
ENSG00000041357.15,262
ENSG00000041880.14,263
ENSG00000041988.15,264
ENSG00000042088.13,265
ENSG00000042429.10,266
ENSG00000042445.13,267
ENSG00000042493.15,268
ENSG00000042753.11,269
ENSG00000043093.13,270
ENSG00000043514.15,271
ENSG00000044115.20,272
ENSG00000044574.7,273
ENSG00000046604.12,274
ENSG00000046647.13,275
ENSG00000046651.14,276
ENSG00000046653.14,277
ENSG00000046774.9,278
ENSG00000047056.14,279
ENSG00000047188.15,280
ENSG00000047249.16,281
ENSG00000047315.14,282
ENSG00000047410.13,283
ENSG00000047579.19,284
ENSG00000047621.11,285
ENSG00000047634.14,286
ENSG00000047648.21,287
ENSG00000047849.21,288
ENSG00000047932.13,289
ENSG00000048162.19,290
ENSG00000048342.15,291
ENSG00000048392.11,292
ENSG00000048405.9,293
ENSG00000048544.5,294
ENSG00000048649.13,295
ENSG00000048740.17,296
ENSG00000048828.16,297
ENSG00000048991.16,298
ENSG00000049245.12,299
ENSG00000049246.14,300
ENSG00000049249.8,301
ENSG00000049323.15,302
ENSG00000049541.10,303
ENSG00000049618.21,304
ENSG00000049656.13,305
ENSG00000049860.13,306
ENSG00000049883.14,307
ENSG00000050130.17,308
ENSG00000050344.8,309
ENSG00000050393.11,310
ENSG00000050405.13,311
ENSG00000050426.15,312
ENSG00000050628.20,313
ENSG00000050748.17,314
ENSG00000051108.14,315
ENSG00000051180.16,316
ENSG00000051382.8,317
ENSG00000051523.10,318
ENSG00000051596.9,319
ENSG00000051620.10,320
ENSG00000051825.14,321
ENSG00000052723.11,322
ENSG00000052749.13,323
ENSG00000052802.12,324
ENSG00000052841.14,325
ENSG00000053371.12,326
ENSG00000053372.4,327
ENSG00000053501.12,328
ENSG00000054116.11,329
ENSG00000054118.13,330
ENSG00000054148.17,331
ENSG00000054267.20,332
ENSG00000054277.12,333
ENSG00000054282.15,334
ENSG00000054523.16,335
ENSG00000054611.13,336
ENSG00000054796.12,337
ENSG00000054967.12,338
ENSG00000054983.16,339
ENSG00000055044.10,340
ENSG00000055070.16,341
ENSG00000055118.14,342
ENSG00000055130.15,343
ENSG00000055147.17,344
ENSG00000055208.17,345
ENSG00000055211.12,346
ENSG00000055483.19,347
ENSG00000055609.17,348
ENSG00000055917.15,349
ENSG00000055950.16,350
ENSG00000056050.6,351
ENSG00000056097.15,352
ENSG00000056277.15,353
ENSG00000056586.15,354
ENSG00000056972.18,355
ENSG00000057252.12,356
ENSG00000057608.16,357
ENSG00000057663.12,358
ENSG00000057757.9,359
ENSG00000057935.13,360
ENSG00000058063.15,361
ENSG00000058262.9,362
ENSG00000058272.15,363
ENSG00000058453.16,364
ENSG00000058668.14,365
ENSG00000058673.15,366
ENSG00000058729.10,367
ENSG00000058799.13,368
ENSG00000058804.11,369
ENSG00000059122.16,370
ENSG00000059573.8,371
ENSG00000059588.9,372
ENSG00000059691.11,373
ENSG00000059728.10,374
ENSG00000059804.15,375
ENSG00000060069.16,376
ENSG00000060138.12,377
ENSG00000060237.16,378
ENSG00000060339.13,379
ENSG00000060642.10,380
ENSG00000060688.12,381
ENSG00000060749.14,382
ENSG00000060762.18,383
ENSG00000060982.14,384
ENSG00000061656.9,385
ENSG00000061676.14,386
ENSG00000061794.12,387
ENSG00000061936.9,388
ENSG00000061987.14,389
ENSG00000062194.15,390
ENSG00000062485.18,391
ENSG00000062650.17,392
ENSG00000062716.10,393
ENSG00000062822.12,394
ENSG00000063046.17,395
ENSG00000063169.10,396
ENSG00000063177.12,397
ENSG00000063180.8,398
ENSG00000063241.7,399
ENSG00000063244.12,400
ENSG00000063322.13,401
ENSG00000063587.13,402
ENSG00000063854.12,403
ENSG00000064102.14,404
ENSG00000064115.10,405
ENSG00000064199.6,406
ENSG00000064201.15,407
ENSG00000064313.11,408
ENSG00000064419.13,409
ENSG00000064490.13,410
ENSG00000064545.14,411
ENSG00000064601.16,412
ENSG00000064666.14,413
ENSG00000064687.12,414
ENSG00000064726.9,415
ENSG00000064933.16,416
ENSG00000064961.18,417
ENSG00000064995.16,418
ENSG00000065000.15,419
ENSG00000065057.7,420
ENSG00000065060.16,421
ENSG00000065135.8,422
ENSG00000065150.18,423
ENSG00000065154.11,424
ENSG00000065183.15,425
ENSG00000065268.10,426
ENSG00000065328.16,427
ENSG00000065427.14,428
ENSG00000065485.17,429
ENSG00000065491.8,430
ENSG00000065518.7,431
ENSG00000065526.10,432
ENSG00000065534.18,433
ENSG00000065548.17,434
ENSG00000065559.14,435
ENSG00000065613.13,436
ENSG00000065615.13,437
ENSG00000065675.14,438
ENSG00000065717.14,439
ENSG00000065802.11,440
ENSG00000065809.13,441
ENSG00000065833.8,442
ENSG00000065911.11,443
ENSG00000065978.17,444
ENSG00000066027.11,445
ENSG00000066044.13,446
ENSG00000066117.14,447
ENSG00000066136.19,448
ENSG00000066279.16,449
ENSG00000066294.14,450
ENSG00000066322.12,451
ENSG00000066336.11,452
ENSG00000066379.14,453
ENSG00000066422.4,454
ENSG00000066427.21,455
ENSG00000066455.12,456
ENSG00000066557.5,457
ENSG00000066583.11,458
ENSG00000066651.17,459
ENSG00000066654.12,460
ENSG00000066697.14,461
ENSG00000066777.8,462
ENSG00000066855.15,463
ENSG00000066926.10,464
ENSG00000067057.16,465
ENSG00000067064.10,466
ENSG00000067066.16,467
ENSG00000067082.14,468
ENSG00000067167.7,469
ENSG00000067182.7,470
ENSG00000067225.17,471
ENSG00000067248.9,472
ENSG00000067334.13,473
ENSG00000067365.14,474
ENSG00000067533.5,475
ENSG00000067560.10,476
ENSG00000067596.10,477
ENSG00000067704.9,478
ENSG00000067829.18,479
ENSG00000067836.12,480
ENSG00000067900.6,481
ENSG00000067955.13,482
ENSG00000068028.17,483
ENSG00000068079.7,484
ENSG00000068097.14,485
ENSG00000068120.14,486
ENSG00000068305.17,487
ENSG00000068308.13,488
ENSG00000068366.19,489
ENSG00000068383.18,490
ENSG00000068394.10,491
ENSG00000068400.13,492
ENSG00000068438.14,493
ENSG00000068697.6,494
ENSG00000068724.15,495
ENSG00000068745.14,496
ENSG00000068784.12,497
ENSG00000068796.16,498
ENSG00000068831.18,499
ENSG00000068878.14,500
ENSG00000068885.14,501
ENSG00000068903.19,502
ENSG00000068912.13,503
ENSG00000068985.4,504
ENSG00000069011.15,505
ENSG00000069020.18,506
ENSG00000069248.11,507
ENSG00000069275.12,508
ENSG00000069329.15,509
ENSG00000069345.11,510
ENSG00000069424.14,511
ENSG00000069482.6,512
ENSG00000069509.5,513
ENSG00000069667.15,514
ENSG00000069702.10,515
ENSG00000069849.10,516
ENSG00000069869.15,517
ENSG00000069956.11,518
ENSG00000069966.18,519
ENSG00000069974.15,520
ENSG00000069998.12,521
ENSG00000070010.18,522
ENSG00000070047.11,523
ENSG00000070081.15,524
ENSG00000070190.12,525
ENSG00000070367.15,526
ENSG00000070413.18,527
ENSG00000070423.17,528
ENSG00000070476.14,529
ENSG00000070495.14,530
ENSG00000070501.11,531
ENSG00000070526.14,532
ENSG00000070540.12,533
ENSG00000070669.16,534
ENSG00000070718.11,535
ENSG00000070756.13,536
ENSG00000070759.16,537
ENSG00000070761.7,538
ENSG00000070770.8,539
ENSG00000070785.16,540
ENSG00000070814.17,541
ENSG00000070831.15,542
ENSG00000070950.9,543
ENSG00000070961.14,544
ENSG00000071051.13,545
ENSG00000071054.15,546
ENSG00000071082.10,547
ENSG00000071127.16,548
ENSG00000071189.21,549
ENSG00000071243.15,550
ENSG00000071246.10,551
ENSG00000071462.11,552
ENSG00000071537.13,553
ENSG00000071539.13,554
ENSG00000071553.16,555
ENSG00000071626.16,556
ENSG00000071794.15,557
ENSG00000071859.14,558
ENSG00000071889.16,559
ENSG00000071967.11,560
ENSG00000071994.10,561
ENSG00000072042.12,562
ENSG00000072062.13,563
ENSG00000072071.16,564
ENSG00000072110.13,565
ENSG00000072134.15,566
ENSG00000072135.12,567
ENSG00000072274.12,568
ENSG00000072310.16,569
ENSG00000072401.14,570
ENSG00000072422.16,571
ENSG00000072501.17,572
ENSG00000072506.12,573
ENSG00000072571.19,574
ENSG00000072682.18,575
ENSG00000072694.18,576
ENSG00000072756.16,577
ENSG00000072778.19,578
ENSG00000072803.17,579
ENSG00000072818.11,580
ENSG00000072849.10,581
ENSG00000072858.10,582
ENSG00000072958.8,583
ENSG00000073008.14,584
ENSG00000073050.11,585
ENSG00000073060.15,586
ENSG00000073111.13,587
ENSG00000073169.13,588
ENSG00000073331.17,589
ENSG00000073417.14,590
ENSG00000073578.16,591
ENSG00000073584.18,592
ENSG00000073614.11,593
ENSG00000073792.15,594
ENSG00000073803.13,595
ENSG00000073849.14,596
ENSG00000073921.17,597
ENSG00000074054.17,598
ENSG00000074071.13,599
ENSG00000074201.8,600
ENSG00000074266.17,601
ENSG00000074319.12,602
ENSG00000074356.16,603
ENSG00000074370.17,604
ENSG00000074603.18,605
ENSG00000074621.13,606
ENSG00000074695.5,607
ENSG00000074696.12,608
ENSG00000074755.14,609
ENSG00000074800.13,610
ENSG00000074803.17,611
ENSG00000074842.7,612
ENSG00000074935.13,613
ENSG00000074964.16,614
ENSG00000075089.9,615
ENSG00000075131.9,616
ENSG00000075142.13,617
ENSG00000075151.19,618
ENSG00000075188.8,619
ENSG00000075218.18,620
ENSG00000075239.13,621
ENSG00000075240.16,622
ENSG00000075292.18,623
ENSG00000075303.12,624
ENSG00000075336.11,625
ENSG00000075340.22,626
ENSG00000075413.17,627
ENSG00000075415.12,628
ENSG00000075420.12,629
ENSG00000075539.13,630
ENSG00000075618.17,631
ENSG00000075624.13,632
ENSG00000075643.5,633
ENSG00000075651.15,634
ENSG00000075711.20,635
ENSG00000075785.12,636
ENSG00000075790.10,637
ENSG00000075856.11,638
ENSG00000075914.12,639
ENSG00000075945.12,640
ENSG00000075975.15,641
ENSG00000076003.4,642
ENSG00000076043.9,643
ENSG00000076053.10,644
ENSG00000076108.11,645
ENSG00000076242.14,646
ENSG00000076382.16,647
ENSG00000076513.16,648
ENSG00000076555.15,649
ENSG00000076685.18,650
ENSG00000076706.14,651
ENSG00000076864.19,652
ENSG00000076928.17,653
ENSG00000076944.14,654
ENSG00000077092.18,655
ENSG00000077097.13,656
ENSG00000077147.14,657
ENSG00000077150.17,658
ENSG00000077152.9,659
ENSG00000077232.16,660
ENSG00000077235.17,661
ENSG00000077254.14,662
ENSG00000077312.8,663
ENSG00000077327.15,664
ENSG00000077348.8,665
ENSG00000077380.15,666
ENSG00000077458.12,667
ENSG00000077549.17,668
ENSG00000077684.15,669
ENSG00000077713.18,670
ENSG00000077721.15,671
ENSG00000078061.12,672
ENSG00000078070.11,673
ENSG00000078140.13,674
ENSG00000078142.11,675
ENSG00000078177.13,676
ENSG00000078246.15,677
ENSG00000078269.13,678
ENSG00000078304.19,679
ENSG00000078369.17,680
ENSG00000078596.10,681
ENSG00000078618.19,682
ENSG00000078668.13,683
ENSG00000078674.17,684
ENSG00000078687.16,685
ENSG00000078747.12,686
ENSG00000078808.16,687
ENSG00000078902.15,688
ENSG00000078967.12,689
ENSG00000079134.11,690
ENSG00000079150.17,691
ENSG00000079156.16,692
ENSG00000079246.15,693
ENSG00000079277.19,694
ENSG00000079332.14,695
ENSG00000079335.17,696
ENSG00000079387.13,697
ENSG00000079393.20,698
ENSG00000079459.12,699
ENSG00000079462.7,700
ENSG00000079482.12,701
ENSG00000079616.12,702
ENSG00000079691.16,703
ENSG00000079785.14,704
ENSG00000079805.16,705
ENSG00000079819.16,706
ENSG00000079950.13,707
ENSG00000079999.13,708
ENSG00000080189.14,709
ENSG00000080298.15,710
ENSG00000080345.17,711
ENSG00000080371.5,712
ENSG00000080608.9,713
ENSG00000080802.18,714
ENSG00000080815.18,715
ENSG00000080822.16,716
ENSG00000080823.21,717
ENSG00000080824.18,718
ENSG00000080839.11,719
ENSG00000080845.17,720
ENSG00000080986.12,721
ENSG00000081014.10,722
ENSG00000081019.13,723
ENSG00000081026.18,724
ENSG00000081087.14,725
ENSG00000081154.11,726
ENSG00000081189.13,727
ENSG00000081237.18,728
ENSG00000081307.12,729
ENSG00000081377.16,730
ENSG00000081479.12,731
ENSG00000081721.11,732
ENSG00000081760.16,733
ENSG00000081791.8,734
ENSG00000081870.11,735
ENSG00000082014.16,736
ENSG00000082068.8,737
ENSG00000082074.15,738
ENSG00000082146.12,739
ENSG00000082153.17,740
ENSG00000082196.20,741
ENSG00000082213.17,742
ENSG00000082258.12,743
ENSG00000082269.16,744
ENSG00000082293.12,745
ENSG00000082512.14,746
ENSG00000082515.16,747
ENSG00000082516.8,748
ENSG00000082641.15,749
ENSG00000082805.19,750
ENSG00000082898.16,751
ENSG00000082996.19,752
ENSG00000083093.9,753
ENSG00000083099.10,754
ENSG00000083123.14,755
ENSG00000083312.17,756
ENSG00000083444.16,757
ENSG00000083457.11,758
ENSG00000083520.14,759
ENSG00000083535.15,760
ENSG00000083544.13,761
ENSG00000083635.7,762
ENSG00000083642.18,763
ENSG00000083720.12,764
ENSG00000083750.12,765
ENSG00000083838.15,766
ENSG00000083845.8,767
ENSG00000083937.8,768
ENSG00000084070.11,769
ENSG00000084072.16,770
ENSG00000084090.13,771
ENSG00000084092.6,772
ENSG00000084093.15,773
ENSG00000084207.15,774
ENSG00000084234.16,775
ENSG00000084463.7,776
ENSG00000084623.11,777
ENSG00000084652.15,778
ENSG00000084676.15,779
ENSG00000084693.15,780
ENSG00000084733.10,781
ENSG00000084754.10,782
ENSG00000084764.10,783
ENSG00000085063.14,784
ENSG00000085117.11,785
ENSG00000085224.20,786
ENSG00000085231.13,787
ENSG00000085274.15,788
ENSG00000085415.15,789
ENSG00000085449.14,790
ENSG00000085491.15,791
ENSG00000085511.19,792
ENSG00000085514.15,793
ENSG00000085552.16,794
ENSG00000085644.13,795
ENSG00000085719.11,796
ENSG00000085721.12,797
ENSG00000085733.15,798
ENSG00000085760.14,799
ENSG00000085832.16,800
ENSG00000085840.12,801
ENSG00000085871.8,802
ENSG00000086015.20,803
ENSG00000086061.15,804
ENSG00000086062.12,805
ENSG00000086065.13,806
ENSG00000086102.18,807
ENSG00000086189.9,808
ENSG00000086200.16,809
ENSG00000086232.12,810
ENSG00000086300.15,811
ENSG00000086475.14,812
ENSG00000086504.15,813
ENSG00000086506.2,814
ENSG00000086598.10,815
ENSG00000086619.13,816
ENSG00000086666.18,817
ENSG00000086712.12,818
ENSG00000086730.16,819
ENSG00000086827.8,820
ENSG00000087053.18,821
ENSG00000087074.7,822
ENSG00000087077.11,823
ENSG00000087086.13,824
ENSG00000087087.18,825
ENSG00000087088.19,826
ENSG00000087111.20,827
ENSG00000087152.15,828
ENSG00000087157.18,829
ENSG00000087191.12,830
ENSG00000087253.11,831
ENSG00000087263.16,832
ENSG00000087274.16,833
ENSG00000087299.11,834
ENSG00000087302.8,835
ENSG00000087338.4,836
ENSG00000087365.14,837
ENSG00000087448.9,838
ENSG00000087460.23,839
ENSG00000087470.17,840
ENSG00000087494.15,841
ENSG00000087502.17,842
ENSG00000087586.17,843
ENSG00000087589.16,844
ENSG00000087842.10,845
ENSG00000087995.15,846
ENSG00000088035.15,847
ENSG00000088179.8,848
ENSG00000088205.12,849
ENSG00000088247.15,850
ENSG00000088298.12,851
ENSG00000088305.18,852
ENSG00000088325.15,853
ENSG00000088356.5,854
ENSG00000088451.10,855
ENSG00000088682.13,856
ENSG00000088727.12,857
ENSG00000088766.11,858
ENSG00000088832.14,859
ENSG00000088833.17,860
ENSG00000088876.11,861
ENSG00000088888.17,862
ENSG00000088930.7,863
ENSG00000088970.15,864
ENSG00000088986.10,865
ENSG00000089006.16,866
ENSG00000089009.15,867
ENSG00000089022.13,868
ENSG00000089041.16,869
ENSG00000089048.14,870
ENSG00000089053.12,871
ENSG00000089060.11,872
ENSG00000089063.14,873
ENSG00000089123.15,874
ENSG00000089154.10,875
ENSG00000089157.15,876
ENSG00000089159.15,877
ENSG00000089177.17,878
ENSG00000089220.4,879
ENSG00000089234.15,880
ENSG00000089248.6,881
ENSG00000089280.18,882
ENSG00000089289.15,883
ENSG00000089327.14,884
ENSG00000089335.20,885
ENSG00000089351.14,886
ENSG00000089597.16,887
ENSG00000089682.16,888
ENSG00000089685.14,889
ENSG00000089693.10,890
ENSG00000089737.15,891
ENSG00000089775.11,892
ENSG00000089818.16,893
ENSG00000089820.15,894
ENSG00000090006.17,895
ENSG00000090013.9,896
ENSG00000090054.13,897
ENSG00000090060.17,898
ENSG00000090238.11,899
ENSG00000090263.15,900
ENSG00000090266.12,901
ENSG00000090273.13,902
ENSG00000090316.15,903
ENSG00000090339.8,904
ENSG00000090372.14,905
ENSG00000090432.6,906
ENSG00000090487.10,907
ENSG00000090520.10,908
ENSG00000090581.9,909
ENSG00000090615.12,910
ENSG00000090621.13,911
ENSG00000090686.15,912
ENSG00000090857.13,913
ENSG00000090861.15,914
ENSG00000090863.11,915
ENSG00000090889.11,916
ENSG00000090971.4,917
ENSG00000090989.17,918
ENSG00000091009.7,919
ENSG00000091039.16,920
ENSG00000091073.19,921
ENSG00000091127.13,922
ENSG00000091136.13,923
ENSG00000091140.12,924
ENSG00000091164.12,925
ENSG00000091317.7,926
ENSG00000091409.14,927
ENSG00000091436.16,928
ENSG00000091483.6,929
ENSG00000091490.10,930
ENSG00000091527.15,931
ENSG00000091542.8,932
ENSG00000091592.15,933
ENSG00000091651.8,934
ENSG00000091656.15,935
ENSG00000091732.15,936
ENSG00000091947.9,937
ENSG00000091986.15,938
ENSG00000092010.14,939
ENSG00000092094.10,940
ENSG00000092108.20,941
ENSG00000092148.12,942
ENSG00000092199.17,943
ENSG00000092200.12,944
ENSG00000092201.9,945
ENSG00000092208.16,946
ENSG00000092330.15,947
ENSG00000092439.13,948
ENSG00000092470.11,949
ENSG00000092531.9,950
ENSG00000092621.11,951
ENSG00000092820.17,952
ENSG00000092841.18,953
ENSG00000092853.13,954
ENSG00000092929.11,955
ENSG00000092931.11,956
ENSG00000092964.16,957
ENSG00000093009.9,958
ENSG00000093010.11,959
ENSG00000093144.18,960
ENSG00000093167.17,961
ENSG00000093183.13,962
ENSG00000094804.9,963
ENSG00000094841.13,964
ENSG00000094880.10,965
ENSG00000094914.12,966
ENSG00000094916.13,967
ENSG00000094975.13,968
ENSG00000095002.12,969
ENSG00000095059.15,970
ENSG00000095139.13,971
ENSG00000095209.11,972
ENSG00000095261.13,973
ENSG00000095303.14,974
ENSG00000095319.14,975
ENSG00000095380.10,976
ENSG00000095485.16,977
ENSG00000095564.13,978
ENSG00000095713.13,979
ENSG00000095739.10,980
ENSG00000095787.21,981
ENSG00000095794.19,982
ENSG00000095906.16,983
ENSG00000095951.16,984
ENSG00000096060.14,985
ENSG00000096063.14,986
ENSG00000096092.5,987
ENSG00000096384.19,988
ENSG00000096401.7,989
ENSG00000096654.15,990
ENSG00000096717.11,991
ENSG00000096746.17,992
ENSG00000096872.15,993
ENSG00000096968.12,994
ENSG00000097007.17,995
ENSG00000097021.19,996
ENSG00000097033.14,997
ENSG00000097046.12,998
ENSG00000099194.5,999
ENSG00000099203.6,1000
ENSG00000099219.13,1001
ENSG00000099246.16,1002
ENSG00000099251.14,1003
ENSG00000099256.18,1004
ENSG00000099330.8,1005
ENSG00000099337.4,1006
ENSG00000099341.11,1007
ENSG00000099377.13,1008
ENSG00000099385.11,1009
ENSG00000099399.5,1010
ENSG00000099622.13,1011
ENSG00000099624.7,1012
ENSG00000099783.11,1013
ENSG00000099785.10,1014
ENSG00000099795.6,1015
ENSG00000099797.11,1016
ENSG00000099800.7,1017
ENSG00000099804.8,1018
ENSG00000099817.11,1019
ENSG00000099860.8,1020
ENSG00000099875.14,1021
ENSG00000099899.14,1022
ENSG00000099901.16,1023
ENSG00000099917.17,1024
ENSG00000099940.11,1025
ENSG00000099942.12,1026
ENSG00000099956.17,1027
ENSG00000099958.14,1028
ENSG00000099968.17,1029
ENSG00000099992.15,1030
ENSG00000099995.18,1031
ENSG00000100023.17,1032
ENSG00000100027.14,1033
ENSG00000100028.11,1034
ENSG00000100029.17,1035
ENSG00000100030.14,1036
ENSG00000100031.18,1037
ENSG00000100056.11,1038
ENSG00000100058.12,1039
ENSG00000100075.9,1040
ENSG00000100084.14,1041
ENSG00000100092.20,1042
ENSG00000100097.11,1043
ENSG00000100099.20,1044
ENSG00000100106.19,1045
ENSG00000100116.16,1046
ENSG00000100124.12,1047
ENSG00000100138.13,1048
ENSG00000100139.13,1049
ENSG00000100154.14,1050
ENSG00000100162.14,1051
ENSG00000100181.21,1052
ENSG00000100196.10,1053
ENSG00000100201.18,1054
ENSG00000100206.9,1055
ENSG00000100209.9,1056
ENSG00000100216.5,1057
ENSG00000100219.16,1058
ENSG00000100220.11,1059
ENSG00000100221.10,1060
ENSG00000100225.17,1061
ENSG00000100227.17,1062
ENSG00000100241.20,1063
ENSG00000100242.15,1064
