Base position	No. reads	Exon
108284367	2	1.0
108284368	2	1.0
108284369	2	1.0
108284370	2	1.0
108284371	2	1.0
108284372	2	1.0
108284373	2	1.0
108284374	2	1.0
108284375	2	1.0
108284376	2	1.0
108284377	2	1.0
108284378	2	1.0
108284379	2	1.0
108284380	6	1.0
108284381	6	1.0
108284382	6	1.0
108284383	6	1.0
108284384	6	1.0
108284385	6	1.0
108284386	6	1.0
108284387	6	1.0
108284388	6	1.0
108284389	6	1.0
108284390	6	1.0
108284391	6	1.0
108284392	6	1.0
108284393	6	1.0
108284394	6	1.0
108284395	6	1.0
108284396	6	1.0
108284397	6	1.0
108284398	6	1.0
108284399	6	1.0
108284400	6	1.0
108284401	6	1.0
108284402	6	1.0
108284403	6	1.0
108284404	6	1.0
108284405	6	1.0
108284406	6	1.0
108284407	6	1.0
108284408	6	1.0
108284409	6	1.0
108284410	6	1.0
108284411	6	1.0
108284412	6	1.0
108284413	6	1.0
108284414	2	1.0
108284415	2	1.0
108284416	2	1.0
108284417	2	1.0
108284418	2	1.0
108284419	2	1.0
108284420	2	1.0
108284421	6	1.0
108284422	6	1.0
108284423	6	1.0
108284424	6	1.0
108284425	6	1.0
108284426	12	1.0
108284427	12	1.0
108284428	12	1.0
108284429	12	1.0
108284430	12	1.0
108284431	12	1.0
108284432	12	1.0
108284433	12	1.0
108284434	12	1.0
108284435	12	1.0
108284436	12	1.0
108284437	12	1.0
108284438	12	1.0
108284439	12	1.0
108284440	0	1.0
108284441	0	NaN
108284442	0	NaN
108284443	0	NaN
108284444	0	NaN
108284445	0	NaN
108284446	0	NaN
108284447	0	NaN
108284448	0	NaN
108284449	0	NaN
108284450	0	NaN
108284451	0	NaN
108284452	0	NaN
108284453	0	NaN
108284454	0	NaN
108284455	0	NaN
108284456	0	NaN
108284457	0	NaN
108284458	0	NaN
108284459	0	NaN
108284460	0	NaN
108284461	0	NaN
108284462	0	NaN
108284463	0	NaN
108284464	0	NaN
108284465	0	NaN
108284466	0	NaN
108284467	0	NaN
108284468	0	NaN
108284469	0	NaN
108284470	0	NaN
108284471	0	NaN
108284472	0	NaN
108284473	0	NaN
108284474	0	NaN
108284475	0	NaN
108284476	0	NaN
108284477	0	NaN
108284478	0	NaN
108284479	0	NaN
108284480	0	NaN
108284481	0	NaN
108284482	0	NaN
108284483	0	NaN
108284484	0	NaN
108284485	0	NaN
108284486	0	NaN
108284487	0	NaN
108284488	0	NaN
108284489	0	NaN
108284490	0	NaN
108284491	0	NaN
108284492	0	NaN
108284493	0	NaN
108284494	0	NaN
108284495	0	NaN
108284496	0	NaN
108284497	0	NaN
108284498	0	NaN
108284499	0	NaN
108284500	0	NaN
108284501	0	NaN
108284502	0	NaN
108284503	0	NaN
108284504	0	NaN
108284505	0	NaN
108284506	0	NaN
108284507	0	NaN
108284508	0	NaN
108284509	0	NaN
108284510	0	NaN
108284511	0	NaN
108284512	0	NaN
108284513	0	NaN
108284514	0	NaN
108284515	0	NaN
108284516	0	NaN
108284517	0	NaN
108284518	0	NaN
108284519	0	NaN
108284520	0	NaN
108284521	0	NaN
108284522	0	NaN
108284523	0	NaN
108284524	0	NaN
108284525	0	NaN
108284526	0	NaN
108284527	0	NaN
108284528	0	NaN
108284529	0	NaN
108284530	0	NaN
108284531	0	NaN
108284532	0	NaN
108284533	0	NaN
108284534	0	NaN
108284535	0	NaN
108284536	0	NaN
108284537	0	NaN
108284538	0	NaN
108284539	0	NaN
108284540	0	NaN
108284541	0	NaN
108284542	0	NaN
108284543	0	NaN
108284544	0	NaN
108284545	0	NaN
108284546	0	NaN
108284547	0	NaN
108284548	0	NaN
108284549	0	NaN
108284550	0	NaN
108284551	0	NaN
108284552	0	NaN
108284553	0	NaN
108284554	0	NaN
108284555	0	NaN
108284556	0	NaN
108284557	0	NaN
108284558	0	NaN
108284559	0	NaN
108284560	0	NaN
108284561	0	NaN
108284562	0	NaN
108284563	0	NaN
108284564	0	NaN
108284565	0	NaN
108284566	0	NaN
108284567	0	NaN
108284568	0	NaN
108284569	0	NaN
108284570	0	NaN
108284571	0	NaN
108284572	0	NaN
108284573	0	NaN
108284574	0	NaN
108284575	0	NaN
108284576	0	NaN
108284577	0	NaN
108284578	0	NaN
108284579	0	NaN
108284580	0	NaN
108284581	0	NaN
108284582	0	NaN
108284583	0	NaN
108284584	0	NaN
108284585	0	NaN
108284586	0	NaN
108284587	0	NaN
108284588	0	NaN
108284589	0	NaN
108284590	0	NaN
108284591	0	NaN
108284592	0	NaN
108284593	0	NaN
108284594	0	NaN
108284595	0	NaN
108284596	0	NaN
108284597	0	NaN
108284598	0	NaN
108284599	0	NaN
108284600	0	NaN
108284601	0	NaN
108284602	0	NaN
108284603	0	NaN
108284604	0	NaN
108284605	0	NaN
108284606	0	NaN
108284607	0	NaN
108284608	0	NaN
108284609	0	NaN
108284610	0	NaN
108284611	0	NaN
108284612	0	NaN
108284613	0	NaN
108284614	0	NaN
108284615	0	NaN
108284616	0	NaN
108284617	0	NaN
108284618	0	NaN
108284619	0	NaN
108284620	0	NaN
108284621	0	NaN
108284622	0	NaN
108284623	0	NaN
108284624	0	NaN
108284625	0	NaN
108284626	0	NaN
108284627	0	NaN
108284628	0	NaN
108284629	0	NaN
108284630	0	NaN
108284631	0	NaN
108284632	0	NaN
108284633	0	NaN
108284634	0	NaN
108284635	0	NaN
108284636	0	NaN
108284637	0	NaN
108284638	0	NaN
108284639	0	NaN
108284640	0	NaN
108284641	0	NaN
108284642	0	NaN
108284643	0	NaN
108284644	0	NaN
108284645	0	NaN
108284646	0	NaN
108284647	0	NaN
108284648	0	NaN
108284649	0	NaN
108284650	0	NaN
108284651	0	NaN
108284652	0	NaN
108284653	0	NaN
108284654	0	NaN
108284655	0	NaN
108284656	0	NaN
108284657	0	NaN
108284658	0	NaN
108284659	0	NaN
108284660	0	NaN
108284661	0	NaN
108284662	0	NaN
108284663	0	NaN
108284664	0	NaN
108284665	0	NaN
108284666	0	NaN
108284667	0	NaN
108284668	0	NaN
108284669	0	NaN
108284670	0	NaN
108284671	0	NaN
108284672	0	NaN
108284673	0	NaN
108284674	0	NaN
108284675	0	NaN
108284676	0	NaN
108284677	0	NaN
108284678	0	NaN
108284679	0	NaN
108284680	0	NaN
108284681	0	NaN
108284682	0	NaN
108284683	0	NaN
108284684	0	NaN
108284685	0	NaN
108284686	0	NaN
108284687	0	NaN
108284688	0	NaN
108284689	0	NaN
108284690	0	NaN
108284691	0	NaN
108284692	0	NaN
108284693	0	NaN
108284694	0	NaN
108284695	0	NaN
108284696	0	NaN
108284697	0	NaN
108284698	0	NaN
108284699	0	NaN
108284700	0	NaN
108284701	0	NaN
108284702	0	NaN
108284703	0	NaN
108284704	0	NaN
108284705	0	NaN
108284706	0	NaN
108284707	0	NaN
108284708	0	NaN
108284709	0	NaN
108284710	0	NaN
108284711	0	NaN
108284712	0	NaN
108284713	0	NaN
108284714	0	NaN
108284715	0	NaN
108284716	0	NaN
108284717	0	NaN
108284718	0	NaN
108284719	0	NaN
108284720	0	NaN
108284721	0	NaN
108284722	0	NaN
108284723	0	NaN
108284724	0	NaN
108284725	0	NaN
108284726	0	NaN
108284727	0	NaN
108284728	0	NaN
108284729	0	NaN
108284730	0	NaN
108284731	0	NaN
108284732	0	NaN
108284733	0	NaN
108284734	0	NaN
108284735	0	NaN
108284736	0	NaN
108284737	0	NaN
108284738	0	NaN
108284739	0	NaN
108284740	0	NaN
108284741	0	NaN
108284742	0	NaN
108284743	0	NaN
108284744	0	NaN
108284745	0	NaN
108284746	0	NaN
108284747	0	NaN
108284748	0	NaN
108284749	0	NaN
108284750	0	NaN
108284751	0	NaN
108284752	0	NaN
108284753	0	NaN
108284754	0	NaN
108284755	0	NaN
108284756	0	NaN
108284757	0	NaN
108284758	0	NaN
108284759	0	NaN
108284760	0	NaN
108284761	0	NaN
108284762	0	NaN
108284763	0	NaN
108284764	0	NaN
108284765	0	NaN
108284766	0	NaN
108284767	0	NaN
108284768	0	NaN
108284769	0	NaN
108284770	0	NaN
108284771	0	NaN
108284772	0	NaN
108284773	0	NaN
108284774	0	NaN
108284775	0	NaN
108284776	0	NaN
108284777	0	NaN
108284778	0	NaN
108284779	0	NaN
108284780	0	NaN
108284781	0	NaN
108284782	0	NaN
108284783	0	NaN
108284784	0	NaN
108284785	0	NaN
108284786	0	NaN
108284787	0	NaN
108284788	0	NaN
108284789	0	NaN
108284790	0	NaN
108284791	0	NaN
108284792	0	NaN
108284793	0	NaN
108284794	0	NaN
108284795	0	NaN
108284796	0	NaN
108284797	0	NaN
108284798	0	NaN
108284799	0	NaN
108284800	0	NaN
108284801	0	NaN
108284802	0	NaN
108284803	0	NaN
108284804	0	NaN
108284805	0	NaN
108284806	0	NaN
108284807	0	NaN
108284808	0	NaN
108284809	0	NaN
108284810	0	NaN
108284811	0	NaN
108284812	0	NaN
108284813	0	NaN
108284814	0	NaN
108284815	0	NaN
108284816	0	NaN
108284817	0	NaN
108284818	0	NaN
108284819	0	NaN
108284820	0	NaN
108284821	0	NaN
108284822	0	NaN
108284823	0	NaN
108284824	0	NaN
108284825	0	NaN
108284826	0	NaN
108284827	0	NaN
108284828	0	NaN
108284829	0	NaN
108284830	0	NaN
108284831	0	NaN
108284832	0	NaN
108284833	0	NaN
108284834	0	NaN
108284835	0	NaN
108284836	0	NaN
108284837	0	NaN
108284838	0	NaN
108284839	0	NaN
108284840	0	NaN
108284841	0	NaN
108284842	0	NaN
108284843	0	NaN
108284844	0	NaN
108284845	0	NaN
108284846	0	NaN
108284847	0	NaN
108284848	0	NaN
108284849	0	NaN
108284850	0	NaN
108284851	0	NaN
108284852	0	NaN
108284853	0	NaN
108284854	0	NaN
108284855	0	NaN
108284856	0	NaN
108284857	0	NaN
108284858	0	NaN
108284859	0	NaN
108284860	0	NaN
108284861	0	NaN
108284862	0	NaN
108284863	0	NaN
108284864	0	NaN
108284865	0	NaN
108284866	0	NaN
108284867	0	NaN
108284868	0	NaN
108284869	0	NaN
108284870	0	NaN
108284871	0	NaN
108284872	0	NaN
108284873	0	NaN
108284874	0	NaN
108284875	0	NaN
108284876	0	NaN
108284877	0	NaN
108284878	0	NaN
108284879	0	NaN
108284880	0	NaN
108284881	0	NaN
108284882	0	NaN
108284883	0	NaN
108284884	0	NaN
108284885	0	NaN
108284886	0	NaN
108284887	0	NaN
108284888	0	NaN
108284889	0	NaN
108284890	0	NaN
108284891	0	NaN
108284892	0	NaN
108284893	0	NaN
108284894	0	NaN
108284895	0	NaN
108284896	0	NaN
108284897	0	NaN
108284898	0	NaN
108284899	0	NaN
108284900	0	NaN
108284901	0	NaN
108284902	0	NaN
108284903	0	NaN
108284904	0	NaN
108284905	0	NaN
108284906	0	NaN
108284907	0	NaN
108284908	0	NaN
108284909	0	NaN
108284910	0	NaN
108284911	0	NaN
108284912	0	NaN
108284913	0	NaN
108284914	0	NaN
108284915	0	NaN
108284916	0	NaN
108284917	0	NaN
108284918	0	NaN
108284919	0	NaN
108284920	0	NaN
108284921	0	NaN
108284922	0	NaN
108284923	0	NaN
108284924	0	NaN
108284925	0	NaN
108284926	0	NaN
108284927	0	NaN
108284928	0	NaN
108284929	0	NaN
108284930	0	NaN
108284931	0	NaN
108284932	0	NaN
108284933	0	NaN
108284934	0	NaN
108284935	0	NaN
108284936	0	NaN
108284937	0	NaN
108284938	0	NaN
108284939	0	NaN
108284940	0	NaN
108284941	0	NaN
108284942	0	NaN
108284943	0	NaN
108284944	0	NaN
108284945	0	NaN
108284946	0	NaN
108284947	0	NaN
108284948	0	NaN
108284949	0	NaN
108284950	0	NaN
108284951	0	NaN
108284952	0	NaN
108284953	0	NaN
108284954	0	NaN
108284955	0	NaN
108284956	0	NaN
108284957	0	NaN
108284958	0	NaN
108284959	0	NaN
108284960	0	NaN
108284961	0	NaN
108284962	0	NaN
108284963	0	NaN
108284964	0	NaN
108284965	0	NaN
108284966	0	NaN
108284967	0	NaN
108284968	0	NaN
108284969	0	NaN
108284970	0	NaN
108284971	0	NaN
108284972	0	NaN
108284973	0	NaN
108284974	0	NaN
108284975	0	NaN
108284976	0	NaN
108284977	0	NaN
108284978	0	NaN
108284979	0	NaN
108284980	0	NaN
108284981	0	NaN
108284982	0	NaN
108284983	0	NaN
108284984	0	NaN
108284985	0	NaN
108284986	0	NaN
108284987	0	NaN
108284988	0	NaN
108284989	0	NaN
108284990	0	NaN
108284991	0	NaN
108284992	0	NaN
108284993	0	NaN
108284994	0	NaN
108284995	0	NaN
108284996	0	NaN
108284997	0	NaN
108284998	0	NaN
108284999	0	NaN
108285000	0	NaN
108285001	0	NaN
108285002	0	NaN
108285003	0	NaN
108285004	0	NaN
108285005	0	NaN
108285006	0	NaN
108285007	0	NaN
108285008	0	NaN
108285009	0	NaN
108285010	0	NaN
108285011	0	NaN
108285012	0	NaN
108285013	0	NaN
108285014	0	NaN
108285015	0	NaN
108285016	0	NaN
108285017	0	NaN
108285018	0	NaN
108285019	0	NaN
108285020	0	NaN
108285021	0	NaN
108285022	0	NaN
108285023	0	NaN
108285024	0	NaN
108285025	0	NaN
108285026	0	NaN
108285027	0	NaN
108285028	0	NaN
108285029	0	NaN
108285030	0	NaN
108285031	0	NaN
108285032	0	NaN
108285033	0	NaN
108285034	0	NaN
108285035	0	NaN
108285036	0	NaN
108285037	0	NaN
108285038	0	NaN
108285039	0	NaN
108285040	0	NaN
108285041	0	NaN
108285042	0	NaN
108285043	0	NaN
108285044	0	NaN
108285045	0	NaN
108285046	0	NaN
108285047	0	NaN
108285048	0	NaN
108285049	0	NaN
108285050	0	NaN
108285051	0	NaN
108285052	0	NaN
108285053	0	NaN
108285054	0	NaN
108285055	0	NaN
108285056	0	NaN
108285057	0	NaN
108285058	0	NaN
108285059	0	NaN
108285060	0	NaN
108285061	0	NaN
108285062	0	NaN
108285063	0	NaN
108285064	0	NaN
108285065	0	NaN
108285066	0	NaN
108285067	0	NaN
108285068	0	NaN
108285069	0	NaN
108285070	0	NaN
108285071	0	NaN
108285072	0	NaN
108285073	0	NaN
108285074	0	NaN
108285075	0	NaN
108285076	0	NaN
108285077	0	NaN
108285078	0	NaN
108285079	0	NaN
108285080	0	NaN
108285081	0	NaN
108285082	0	NaN
108285083	0	NaN
108285084	0	NaN
108285085	0	NaN
108285086	0	NaN
108285087	0	NaN
108285088	0	NaN
108285089	0	NaN
108285090	0	NaN
108285091	0	NaN
108285092	0	NaN
108285093	0	NaN
108285094	0	NaN
108285095	0	NaN
108285096	0	NaN
108285097	0	NaN
108285098	0	NaN
108285099	0	NaN
108285100	0	NaN
108285101	0	NaN
108285102	0	NaN
108285103	0	NaN
108285104	0	NaN
108285105	0	NaN
108285106	0	NaN
108285107	0	NaN
108285108	0	NaN
108285109	0	NaN
108285110	0	NaN
108285111	0	NaN
108285112	0	NaN
108285113	0	NaN
108285114	0	NaN
108285115	0	NaN
108285116	0	NaN
108285117	0	NaN
108285118	0	NaN
108285119	0	NaN
108285120	0	NaN
108285121	0	NaN
108285122	0	NaN
108285123	0	NaN
108285124	0	NaN
108285125	0	NaN
108285126	0	NaN
108285127	0	NaN
108285128	0	NaN
108285129	0	NaN
108285130	0	NaN
108285131	0	NaN
108285132	0	NaN
108285133	0	NaN
108285134	0	NaN
108285135	0	NaN
108285136	0	NaN
108285137	0	NaN
108285138	0	NaN
108285139	0	NaN
108285140	0	NaN
108285141	0	NaN
108285142	0	NaN
108285143	0	NaN
108285144	0	NaN
108285145	0	NaN
108285146	0	NaN
108285147	0	NaN
108285148	0	NaN
108285149	0	NaN
108285150	0	NaN
108285151	0	NaN
108285152	0	NaN
108285153	0	NaN
108285154	0	NaN
108285155	0	NaN
108285156	0	NaN
108285157	0	NaN
108285158	0	NaN
108285159	0	NaN
108285160	0	NaN
108285161	0	NaN
108285162	0	NaN
108285163	0	NaN
108285164	0	NaN
108285165	0	NaN
108285166	0	NaN
108285167	0	NaN
108285168	0	NaN
108285169	0	NaN
108285170	0	NaN
108285171	0	NaN
108285172	0	NaN
108285173	0	NaN
108285174	0	NaN
108285175	0	NaN
108285176	0	NaN
108285177	0	NaN
108285178	0	NaN
108285179	0	NaN
108285180	0	NaN
108285181	0	NaN
108285182	0	NaN
108285183	0	NaN
108285184	0	NaN
108285185	0	NaN
108285186	0	NaN
108285187	0	NaN
108285188	0	NaN
108285189	0	NaN
108285190	0	NaN
108285191	0	NaN
108285192	0	NaN
108285193	0	NaN
108285194	0	NaN
108285195	0	NaN
108285196	0	NaN
108285197	0	NaN
108285198	0	NaN
108285199	0	NaN
108285200	0	NaN
108285201	0	NaN
108285202	0	NaN
108285203	0	NaN
108285204	0	NaN
108285205	0	NaN
108285206	0	NaN
108285207	0	NaN
108285208	0	NaN
108285209	0	NaN
108285210	0	NaN
108285211	0	NaN
108285212	0	NaN
108285213	0	NaN
108285214	0	NaN
108285215	0	NaN
108285216	0	NaN
108285217	0	NaN
108285218	0	NaN
108285219	0	NaN
108285220	0	NaN
108285221	0	NaN
108285222	0	NaN
108285223	0	NaN
108285224	0	NaN
108285225	0	NaN
108285226	0	NaN
108285227	0	NaN
108285228	0	NaN
108285229	0	NaN
108285230	0	NaN
108285231	0	NaN
108285232	0	NaN
108285233	0	NaN
108285234	0	NaN
108285235	0	NaN
108285236	0	NaN
108285237	0	NaN
108285238	0	NaN
108285239	0	NaN
108285240	0	NaN
108285241	0	NaN
108285242	0	NaN
108285243	0	NaN
108285244	0	NaN
108285245	0	NaN
108285246	0	NaN
108285247	0	NaN
108285248	0	NaN
108285249	0	NaN
108285250	0	NaN
108285251	0	NaN
108285252	0	NaN
108285253	0	NaN
108285254	0	NaN
108285255	0	NaN
108285256	0	NaN
108285257	0	NaN
108285258	0	NaN
108285259	0	NaN
108285260	0	NaN
108285261	0	NaN
108285262	0	NaN
108285263	0	NaN
108285264	0	NaN
108285265	0	NaN
108285266	0	NaN
108285267	0	NaN
108285268	0	NaN
108285269	0	NaN
108285270	0	NaN
108285271	0	NaN
108285272	0	NaN
108285273	0	NaN
108285274	0	NaN
108285275	0	NaN
108285276	0	NaN
108285277	0	NaN
108285278	0	NaN
108285279	0	NaN
108285280	0	NaN
108285281	0	NaN
108285282	0	NaN
108285283	0	NaN
108285284	0	NaN
108285285	0	NaN
108285286	0	NaN
108285287	0	NaN
108285288	0	NaN
108285289	0	NaN
108285290	0	NaN
108285291	0	NaN
108285292	0	NaN
108285293	0	NaN
108285294	0	NaN
108285295	0	NaN
108285296	0	NaN
108285297	0	NaN
108285298	0	NaN
108285299	0	NaN
108285300	0	NaN
108285301	0	NaN
108285302	0	NaN
108285303	0	NaN
108285304	0	NaN
108285305	0	NaN
108285306	0	NaN
108285307	0	NaN
108285308	0	NaN
108285309	0	NaN
108285310	0	NaN
108285311	0	NaN
108285312	0	NaN
108285313	0	NaN
108285314	0	NaN
108285315	0	NaN
108285316	0	NaN
108285317	0	NaN
108285318	0	NaN
108285319	0	NaN
108285320	0	NaN
108285321	0	NaN
108285322	0	NaN
108285323	0	NaN
108285324	0	NaN
108285325	0	NaN
108285326	0	NaN
108285327	0	NaN
108285328	0	NaN
108285329	0	NaN
108285330	0	NaN
108285331	0	NaN
108285332	0	NaN
108285333	0	NaN
108285334	0	NaN
108285335	0	NaN
108285336	0	NaN
108285337	0	NaN
108285338	0	NaN
108285339	0	NaN
108285340	0	NaN
108285341	0	NaN
108285342	0	NaN
108285343	0	NaN
108285344	0	NaN
108285345	0	NaN
108285346	0	NaN
108285347	0	NaN
108285348	0	NaN
108285349	0	NaN
108285350	0	NaN
108285351	0	NaN
108285352	0	NaN
108285353	0	NaN
108285354	0	NaN
108285355	0	NaN
108285356	0	NaN
108285357	0	NaN
108285358	0	NaN
108285359	0	NaN
108285360	0	NaN
108285361	0	NaN
108285362	0	NaN
108285363	0	NaN
108285364	0	NaN
108285365	0	NaN
108285366	0	NaN
108285367	0	NaN
108285368	0	NaN
108285369	0	NaN
108285370	0	NaN
108285371	0	NaN
108285372	0	NaN
108285373	0	NaN
108285374	0	NaN
108285375	0	NaN
108285376	0	NaN
108285377	0	NaN
108285378	0	NaN
108285379	0	NaN
108285380	0	NaN
108285381	0	NaN
108285382	0	NaN
108285383	0	NaN
108285384	0	NaN
108285385	0	NaN
108285386	0	NaN
108285387	0	NaN
108285388	0	NaN
108285389	0	NaN
108285390	0	NaN
108285391	0	NaN
108285392	0	NaN
108285393	0	NaN
108285394	0	NaN
108285395	0	NaN
108285396	0	NaN
108285397	0	NaN
108285398	0	NaN
108285399	0	NaN
108285400	0	NaN
108285401	0	NaN
108285402	0	NaN
108285403	0	NaN
108285404	0	NaN
108285405	0	NaN
108285406	0	NaN
108285407	0	NaN
108285408	0	NaN
108285409	0	NaN
108285410	0	NaN
108285411	0	NaN
108285412	0	NaN
108285413	0	NaN
108285414	0	NaN
108285415	0	NaN
108285416	0	NaN
108285417	0	NaN
108285418	0	NaN
108285419	0	NaN
108285420	0	NaN
108285421	0	NaN
108285422	0	NaN
108285423	0	NaN
108285424	0	NaN
108285425	0	NaN
108285426	0	NaN
108285427	0	NaN
108285428	0	NaN
108285429	0	NaN
108285430	0	NaN
108285431	0	NaN
108285432	0	NaN
108285433	0	NaN
108285434	0	NaN
108285435	0	NaN
108285436	0	NaN
108285437	0	NaN
108285438	0	NaN
108285439	0	NaN
108285440	0	NaN
108285441	0	NaN
108285442	0	NaN
108285443	0	NaN
108285444	0	NaN
108285445	0	NaN
108285446	0	NaN
108285447	0	NaN
108285448	0	NaN
108285449	0	NaN
108285450	0	NaN
108285451	0	NaN
108285452	0	NaN
108285453	0	NaN
108285454	0	NaN
108285455	0	NaN
108285456	0	NaN
108285457	0	NaN
108285458	0	NaN
108285459	0	NaN
108285460	0	NaN
108285461	0	NaN
108285462	0	NaN
108285463	0	NaN
108285464	0	NaN
108285465	0	NaN
108285466	0	NaN
108285467	0	NaN
108285468	0	NaN
108285469	0	NaN
108285470	0	NaN
108285471	0	NaN
108285472	0	NaN
108285473	0	NaN
108285474	0	NaN
108285475	0	NaN
108285476	0	NaN
108285477	0	NaN
108285478	0	NaN
108285479	0	NaN
108285480	0	NaN
108285481	0	NaN
108285482	0	NaN
108285483	0	NaN
108285484	0	NaN
108285485	0	NaN
108285486	0	NaN
108285487	0	NaN
108285488	0	NaN
108285489	0	NaN
108285490	0	NaN
108285491	0	NaN
108285492	0	NaN
108285493	0	NaN
108285494	0	NaN
108285495	0	NaN
108285496	0	NaN
108285497	0	NaN
108285498	0	NaN
108285499	0	NaN
108285500	0	NaN
108285501	0	NaN
108285502	0	NaN
108285503	0	NaN
108285504	0	NaN
108285505	0	NaN
108285506	0	NaN
108285507	0	NaN
108285508	0	NaN
108285509	0	NaN
108285510	0	NaN
108285511	0	NaN
108285512	0	NaN
108285513	0	NaN
108285514	0	NaN
108285515	0	NaN
108285516	0	NaN
108285517	0	NaN
108285518	0	NaN
108285519	0	NaN
108285520	0	NaN
108285521	0	NaN
108285522	0	NaN
108285523	0	NaN
108285524	0	NaN
108285525	0	NaN
108285526	0	NaN
108285527	0	NaN
108285528	0	NaN
108285529	0	NaN
108285530	0	NaN
108285531	0	NaN
108285532	0	NaN
108285533	0	NaN
108285534	0	NaN
108285535	0	NaN
108285536	0	NaN
108285537	0	NaN
108285538	0	NaN
108285539	0	NaN
108285540	0	NaN
108285541	0	NaN
108285542	0	NaN
108285543	0	NaN
108285544	0	NaN
108285545	0	NaN
108285546	0	NaN
108285547	0	NaN
108285548	0	NaN
108285549	0	NaN
108285550	0	NaN
108285551	0	NaN
108285552	0	NaN
108285553	0	NaN
108285554	0	NaN
108285555	0	NaN
108285556	0	NaN
108285557	0	NaN
108285558	0	NaN
108285559	0	NaN
108285560	0	NaN
108285561	0	NaN
108285562	0	NaN
108285563	0	NaN
108285564	0	NaN
108285565	0	NaN
